dt,PM1 (ug/m3),PM2.5(ug/m3),PM10(ug/m3),PM1 (ug/m3) atmos env,PM2.5(ug/m3) atmos env,PM10(ug/m3) atmos env,0.3um in 0.1L air,0.5um in 0.1L air,1.0um in 0.1L air,2.5um in 0.1L air,5um in 0.1L air,10um in 0.1L air
13/12/2021 09:07:09,51,68,87,34,49,67,0,0,0,0,0,0
13/12/2021 09:07:14,52,72,85,35,50,67,0,0,0,0,0,0
13/12/2021 09:07:19,51,69,84,34,49,66,0,0,0,0,0,0
13/12/2021 09:07:24,49,70,82,34,50,65,0,0,0,0,0,0
13/12/2021 09:07:29,48,74,84,33,51,66,0,0,0,0,0,0
13/12/2021 09:07:34,46,70,83,33,50,66,0,0,0,0,0,0
13/12/2021 09:07:39,45,69,83,32,49,66,0,0,0,0,0,0
13/12/2021 09:07:44,44,70,84,32,50,66,0,0,0,0,0,0
13/12/2021 09:07:49,46,72,91,33,52,71,0,0,0,0,0,0
13/12/2021 09:07:54,46,73,89,33,53,70,6660,2059,467,64,20,6
13/12/2021 09:07:59,44,71,88,33,52,70,6387,1987,450,64,22,6
13/12/2021 09:08:04,42,72,89,32,52,71,6285,1957,450,72,24,6
13/12/2021 09:08:09,41,71,86,31,52,70,6189,1900,439,68,20,6
13/12/2021 09:08:14,40,70,85,31,51,69,6165,1898,443,62,20,6
13/12/2021 09:08:19,37,63,81,29,48,66,6024,1828,428,60,24,8
13/12/2021 09:08:24,37,64,79,29,48,65,6024,1818,426,62,22,6
13/12/2021 09:08:29,39,66,84,30,49,67,6102,1867,458,70,26,6
13/12/2021 09:08:34,39,65,82,30,48,66,6243,1888,452,60,26,8
13/12/2021 09:08:39,39,64,78,29,48,63,6300,1920,458,56,22,4
13/12/2021 09:08:44,39,64,80,29,48,64,6486,1966,452,54,24,4
13/12/2021 09:08:49,39,64,76,29,48,63,6501,1936,440,52,20,4
13/12/2021 09:08:54,37,59,70,29,45,60,6294,1871,406,44,18,4
13/12/2021 09:08:59,38,62,74,29,46,61,6414,1918,430,48,18,4
13/12/2021 09:09:04,38,61,78,29,46,63,6357,1905,430,58,24,6
13/12/2021 09:09:09,40,63,76,30,47,62,6636,2006,449,48,20,4
13/12/2021 09:09:14,40,62,74,30,46,62,6693,2027,445,40,18,4
13/12/2021 09:09:19,40,60,69,30,46,59,6591,1982,411,30,12,6
13/12/2021 09:09:24,39,61,68,30,46,58,6501,1970,405,34,10,4
13/12/2021 09:09:29,40,62,70,30,46,60,6570,1987,408,34,10,4
13/12/2021 09:09:34,39,60,69,30,46,59,6378,1930,387,38,12,6
13/12/2021 09:09:39,39,60,69,30,46,59,6351,1933,402,36,12,6
13/12/2021 09:09:44,39,62,71,30,46,60,6408,1958,410,38,12,6
13/12/2021 09:09:49,39,59,70,30,45,60,6378,1945,370,40,14,6
13/12/2021 09:09:54,40,58,68,30,45,58,6402,1947,378,34,14,4
13/12/2021 09:09:59,39,57,71,30,44,60,6252,1899,370,40,20,8
13/12/2021 09:10:04,39,57,71,30,44,60,6252,1899,370,40,20,8
13/12/2021 09:10:09,39,57,71,30,44,60,6252,1899,370,40,20,8
13/12/2021 09:10:14,39,58,73,30,45,61,6309,1924,368,44,22,10
13/12/2021 09:10:19,39,58,73,30,45,61,6309,1924,368,44,22,10
13/12/2021 09:10:24,39,58,73,30,45,61,6309,1924,368,44,22,10
13/12/2021 09:10:29,39,58,73,30,45,61,6411,1935,370,46,20,8
13/12/2021 09:10:34,39,58,73,30,45,61,6411,1935,370,46,20,8
13/12/2021 09:10:39,39,58,73,30,45,61,6411,1935,370,46,20,8
13/12/2021 09:10:44,40,60,74,30,46,62,6588,1968,384,46,20,8
13/12/2021 09:10:49,40,60,74,30,46,62,6588,1968,384,46,20,8
13/12/2021 09:10:54,40,60,74,30,46,62,6588,1968,384,46,20,8
13/12/2021 09:10:59,40,59,77,30,45,63,6645,1957,394,50,26,8
13/12/2021 09:11:04,40,60,77,30,46,63,6708,1970,423,50,26,6
13/12/2021 09:11:09,40,62,79,30,46,64,6696,1980,412,60,26,6
13/12/2021 09:11:14,41,62,81,31,46,65,6891,2020,423,64,28,6
13/12/2021 09:11:19,42,66,83,31,48,66,7074,2081,437,64,26,6
13/12/2021 09:11:24,43,68,84,31,49,66,7239,2128,425,70,22,8
13/12/2021 09:11:29,43,68,80,31,49,64,7149,2088,410,70,16,4
13/12/2021 09:11:34,42,70,84,31,50,66,7194,2090,420,78,20,6
13/12/2021 09:11:39,42,69,82,31,49,65,7182,2079,409,76,20,6
13/12/2021 09:11:44,42,68,81,31,49,65,7089,2062,403,76,20,6
13/12/2021 09:11:49,43,69,80,31,49,64,7179,2109,405,74,16,6
13/12/2021 09:11:54,42,67,78,30,48,62,7224,2128,395,74,16,6
13/12/2021 09:11:59,44,69,82,31,49,64,7464,2196,429,72,20,8
13/12/2021 09:12:04,44,69,82,31,49,64,7458,2196,431,72,20,8
13/12/2021 09:12:09,44,69,82,31,49,64,7458,2196,431,72,20,8
13/12/2021 09:12:14,44,71,86,32,50,68,7305,2148,461,70,24,8
13/12/2021 09:12:19,44,71,86,32,50,68,7305,2148,461,70,24,8
13/12/2021 09:12:25,44,71,86,32,50,68,7305,2148,461,70,24,8
13/12/2021 09:12:30,44,69,84,32,49,66,7344,2141,467,64,24,6
13/12/2021 09:12:35,44,69,84,32,49,66,7344,2141,467,64,24,6
13/12/2021 09:12:40,44,69,84,32,49,66,7344,2141,467,64,24,6
13/12/2021 09:12:45,44,70,86,32,50,67,7584,2206,484,62,26,8
13/12/2021 09:12:50,43,69,85,31,49,66,7584,2206,484,62,26,8
13/12/2021 09:12:55,43,69,85,31,49,66,7584,2206,484,62,26,8
13/12/2021 09:13:00,43,71,87,31,49,67,7566,2206,522,64,28,4
13/12/2021 09:13:05,43,71,87,31,49,67,7566,2206,522,64,28,4
13/12/2021 09:13:10,43,71,87,31,49,67,7566,2206,522,64,28,4
13/12/2021 09:13:15,44,72,92,31,50,69,7680,2253,535,68,34,4
13/12/2021 09:13:20,44,72,92,31,50,69,7680,2253,535,68,34,4
13/12/2021 09:13:25,44,72,92,31,50,69,7680,2253,535,68,34,4
13/12/2021 09:13:30,44,71,91,31,49,69,7767,2268,529,64,34,4
13/12/2021 09:13:35,44,71,91,31,49,69,7767,2268,529,64,34,4
13/12/2021 09:13:40,45,72,92,32,50,70,7767,2268,529,64,34,4
13/12/2021 09:13:45,44,70,91,32,50,69,7614,2213,514,64,34,6
13/12/2021 09:13:50,44,70,91,32,50,69,7614,2213,514,64,34,6
13/12/2021 09:13:55,44,70,91,32,50,69,7614,2213,514,64,34,6
13/12/2021 09:14:00,44,69,87,32,49,67,7500,2181,503,56,30,6
13/12/2021 09:14:05,44,69,87,32,49,67,7500,2181,503,56,30,6
13/12/2021 09:14:10,44,69,87,32,49,67,7500,2181,503,56,30,6
13/12/2021 09:14:15,44,68,84,32,49,66,7506,2174,475,50,26,4
13/12/2021 09:14:20,42,68,84,31,49,66,7443,2153,477,52,26,4
13/12/2021 09:14:25,42,67,81,31,48,65,7284,2113,433,56,24,4
13/12/2021 09:14:30,42,67,82,31,48,65,7296,2115,433,60,24,4
13/12/2021 09:14:35,42,67,81,31,48,65,7221,2090,427,60,24,2
13/12/2021 09:14:40,43,66,77,31,48,63,7266,2101,398,56,18,2
13/12/2021 09:14:45,41,66,73,30,47,61,7221,2090,402,52,12,2
13/12/2021 09:14:50,40,66,77,30,47,62,7170,2086,414,58,16,4
13/12/2021 09:14:55,41,68,78,30,48,63,7215,2111,425,60,16,2
13/12/2021 09:15:00,41,70,81,30,49,64,7248,2113,438,68,18,2
13/12/2021 09:15:05,42,72,84,31,50,67,7254,2118,443,74,20,2
13/12/2021 09:15:10,43,73,84,31,50,67,7329,2135,458,72,18,2
13/12/2021 09:15:15,43,75,86,31,51,68,7425,2164,491,74,18,2
13/12/2021 09:15:20,43,74,85,31,51,67,7425,2164,491,74,18,2
13/12/2021 09:15:25,43,74,85,31,51,67,7425,2164,491,74,18,2
13/12/2021 09:15:30,42,73,84,31,51,66,7299,2145,487,72,20,2
13/12/2021 09:15:35,41,72,83,30,50,65,7299,2145,487,72,20,2
13/12/2021 09:15:40,41,72,83,30,50,65,7299,2145,487,72,20,2
13/12/2021 09:15:45,40,70,86,30,49,66,7167,2113,472,80,26,4
13/12/2021 09:15:50,40,70,86,30,49,66,7167,2113,472,80,26,4
13/12/2021 09:15:55,40,70,86,30,49,66,7167,2113,472,80,26,4
13/12/2021 09:16:00,40,68,83,30,48,65,7116,2092,459,74,26,4
13/12/2021 09:16:05,40,68,83,30,48,65,7116,2092,459,74,26,4
13/12/2021 09:16:10,40,68,83,30,48,65,7116,2092,459,74,26,4
13/12/2021 09:16:15,40,67,84,30,48,66,7134,2086,445,74,28,6
13/12/2021 09:16:20,40,67,84,30,48,66,7134,2086,445,74,28,6
13/12/2021 09:16:25,40,67,84,30,48,66,7134,2086,445,74,28,6
13/12/2021 09:16:30,41,68,86,31,49,67,7110,2082,447,78,28,6
13/12/2021 09:16:35,41,68,86,31,49,67,7110,2082,447,78,28,6
13/12/2021 09:16:40,41,68,86,31,49,67,7110,2082,447,78,28,6
13/12/2021 09:16:45,42,67,85,31,48,67,7173,2095,439,74,28,8
13/12/2021 09:16:50,42,67,85,31,48,67,7173,2095,439,74,28,8
13/12/2021 09:16:55,42,67,85,31,48,67,7173,2095,439,74,28,8
13/12/2021 09:17:00,43,66,84,31,48,66,7305,2123,426,70,28,8
13/12/2021 09:17:05,42,65,83,30,47,65,7305,2123,426,70,28,8
13/12/2021 09:17:10,42,65,83,30,47,65,7305,2123,426,70,28,8
13/12/2021 09:17:15,41,64,84,30,47,66,7362,2120,428,68,30,10
13/12/2021 09:17:20,42,65,85,31,48,67,7362,2120,428,68,30,10
13/12/2021 09:17:25,42,65,85,31,48,67,7362,2120,428,68,30,10
13/12/2021 09:17:30,42,64,83,31,47,66,7344,2118,405,66,30,10
13/12/2021 09:17:35,42,64,83,31,47,66,7344,2118,405,66,30,10
13/12/2021 09:17:40,41,63,82,30,46,65,7344,2118,405,66,30,10
13/12/2021 09:17:45,41,61,79,30,45,63,7371,2110,384,58,28,10
13/12/2021 09:17:50,41,61,79,30,45,63,7371,2110,384,58,28,10
13/12/2021 09:17:55,41,61,79,30,45,63,7371,2110,384,58,28,10
13/12/2021 09:18:00,42,63,80,30,46,64,7527,2142,386,58,26,10
13/12/2021 09:18:05,43,66,78,31,47,63,7671,2178,403,54,18,8
13/12/2021 09:18:10,44,69,82,32,49,65,7815,2226,412,58,20,8
13/12/2021 09:18:15,43,69,80,31,49,64,7719,2199,409,56,18,6
13/12/2021 09:18:20,44,68,76,32,49,62,7764,2209,393,48,14,4
13/12/2021 09:18:25,43,66,74,31,48,62,7695,2164,382,50,14,2
13/12/2021 09:18:30,44,69,80,32,49,64,7740,2200,407,58,18,6
13/12/2021 09:18:35,42,67,76,31,48,62,7551,2137,386,56,14,4
13/12/2021 09:18:40,42,69,79,31,49,64,7569,2139,405,60,16,4
13/12/2021 09:18:45,43,72,83,31,50,66,7674,2179,426,68,18,6
13/12/2021 09:18:50,42,71,82,31,50,65,7530,2147,432,66,16,6
13/12/2021 09:18:55,42,72,84,31,50,66,7506,2143,449,70,18,6
13/12/2021 09:19:00,42,70,79,31,50,64,7380,2101,440,64,14,6
13/12/2021 09:19:05,41,68,78,31,49,63,7224,2054,430,66,14,6
13/12/2021 09:19:10,41,68,78,31,49,63,7224,2054,430,66,14,6
13/12/2021 09:19:15,40,67,76,30,48,62,7146,2035,417,64,14,6
13/12/2021 09:19:20,39,66,75,29,47,61,7146,2035,417,64,14,6
13/12/2021 09:19:25,39,66,75,29,47,61,7146,2035,417,64,14,6
13/12/2021 09:19:30,40,69,77,30,49,62,7203,2082,438,68,12,6
13/12/2021 09:19:35,41,70,77,31,50,63,7203,2073,436,68,10,4
13/12/2021 09:19:40,42,72,79,31,50,64,7203,2109,463,74,10,4
13/12/2021 09:19:45,41,70,76,31,50,62,7065,2073,448,70,8,4
13/12/2021 09:19:50,39,68,74,29,48,61,7008,2047,457,68,8,4
13/12/2021 09:19:55,41,68,74,30,48,61,7116,2081,453,64,8,4
13/12/2021 09:20:00,40,67,73,30,48,61,6987,2043,446,58,8,4
13/12/2021 09:20:05,40,70,78,30,50,63,6891,2024,463,68,12,4
13/12/2021 09:20:10,42,72,82,31,50,65,7092,2081,478,70,14,6
13/12/2021 09:20:15,42,74,83,31,51,66,7092,2083,493,78,14,6
13/12/2021 09:20:20,41,74,86,31,51,67,7035,2057,504,84,16,8
13/12/2021 09:20:25,40,72,82,30,50,65,6957,2032,509,78,12,6
13/12/2021 09:20:30,40,71,79,30,49,63,6945,2009,490,72,12,6
13/12/2021 09:20:35,41,70,81,30,49,64,7020,2035,486,74,16,6
13/12/2021 09:20:40,41,70,81,30,49,64,7020,2035,486,74,16,6
13/12/2021 09:20:45,41,68,80,30,48,64,6933,2021,456,70,18,4
13/12/2021 09:20:50,41,68,80,30,48,64,6933,2021,456,70,18,4
13/12/2021 09:20:55,41,68,80,30,48,64,6933,2021,456,70,18,4
13/12/2021 09:21:00,40,68,82,30,48,65,6900,2004,454,76,22,4
13/12/2021 09:21:05,40,68,82,30,48,65,6900,2004,454,76,22,4
13/12/2021 09:21:10,40,68,82,30,48,65,6900,2004,454,76,22,4
13/12/2021 09:21:15,42,69,82,31,49,65,6978,2027,440,76,20,4
13/12/2021 09:21:20,42,69,82,31,49,65,6978,2027,440,76,20,4
13/12/2021 09:21:25,42,69,82,31,49,65,6978,2027,440,76,20,4
13/12/2021 09:21:30,43,68,79,31,49,64,7029,2044,423,70,16,4
13/12/2021 09:21:35,43,68,79,31,49,64,7029,2044,423,70,16,4
13/12/2021 09:21:40,43,68,79,31,49,64,7029,2044,423,70,16,4
13/12/2021 09:21:45,42,68,83,31,49,66,7017,2050,433,80,22,6
13/12/2021 09:21:50,41,67,82,30,48,65,7017,2050,433,80,22,6
13/12/2021 09:21:55,41,67,82,30,48,65,7017,2050,433,80,22,6
13/12/2021 09:22:00,41,65,81,30,47,64,7050,2046,424,72,24,8
13/12/2021 09:22:05,42,64,79,31,47,64,7017,2036,392,66,24,8
13/12/2021 09:22:10,42,62,77,31,46,63,7011,2040,368,62,24,8
13/12/2021 09:22:15,43,64,82,31,47,65,7080,2076,389,68,28,8
13/12/2021 09:22:20,41,63,79,30,46,63,7035,2071,393,64,24,8
13/12/2021 09:22:25,41,64,81,30,47,64,7137,2088,404,68,24,10
13/12/2021 09:22:30,42,65,82,30,47,65,7182,2124,395,70,24,10
13/12/2021 09:22:35,42,64,83,30,47,65,7269,2147,392,72,26,12
13/12/2021 09:22:40,43,65,84,31,47,66,7377,2172,403,74,28,12
13/12/2021 09:22:45,43,65,80,31,47,64,7422,2194,388,64,22,8
13/12/2021 09:22:50,43,66,80,31,47,64,7422,2192,397,66,20,6
13/12/2021 09:22:55,43,67,80,31,48,64,7386,2196,414,64,20,4
13/12/2021 09:23:00,43,68,84,31,48,66,7458,2213,433,70,24,6
13/12/2021 09:23:05,43,68,84,31,48,66,7458,2213,433,70,24,6
13/12/2021 09:23:10,43,68,84,31,48,66,7458,2213,433,70,24,6
13/12/2021 09:23:15,43,66,82,31,47,65,7395,2198,416,66,24,6
13/12/2021 09:23:20,42,67,83,30,48,65,7296,2171,428,72,24,6
13/12/2021 09:23:25,43,69,82,31,49,65,7263,2173,428,74,20,4
13/12/2021 09:23:30,41,67,79,31,48,64,6978,2057,430,68,18,6
13/12/2021 09:23:35,41,68,78,31,49,63,6903,2045,452,66,16,4
13/12/2021 09:23:40,39,69,80,30,49,64,6732,1995,458,72,18,4
13/12/2021 09:23:45,38,67,79,29,48,64,6591,1952,461,74,16,4
13/12/2021 09:23:50,38,68,80,29,49,64,6579,1952,465,74,18,4
13/12/2021 09:23:55,39,69,80,30,49,64,6705,1986,467,72,16,4
13/12/2021 09:24:00,39,68,78,30,49,63,6615,1965,457,70,14,2
13/12/2021 09:24:05,39,71,79,30,50,64,6648,1982,474,72,12,2
13/12/2021 09:24:10,39,70,79,30,50,64,6705,1993,460,72,14,2
13/12/2021 09:24:15,39,69,81,30,49,65,6750,2003,475,70,18,4
13/12/2021 09:24:20,38,68,80,29,48,64,6750,2003,475,70,18,4
13/12/2021 09:24:25,38,68,80,29,48,64,6750,2003,475,70,18,4
13/12/2021 09:24:30,40,71,84,30,49,66,7008,2094,486,76,20,4
13/12/2021 09:24:35,41,72,85,31,50,67,7008,2094,486,76,20,4
13/12/2021 09:24:40,41,72,85,31,50,67,7008,2094,486,76,20,4
13/12/2021 09:24:45,41,69,82,31,49,65,7041,2081,452,70,20,4
13/12/2021 09:24:50,42,68,80,31,49,64,7116,2106,444,62,18,4
13/12/2021 09:24:55,42,68,80,31,49,64,7131,2106,446,60,20,4
13/12/2021 09:25:00,42,67,79,31,48,64,7086,2102,444,60,20,4
13/12/2021 09:25:05,40,65,77,30,48,63,6915,2034,438,60,20,4
13/12/2021 09:25:10,39,65,78,30,48,63,6852,2004,440,64,20,6
13/12/2021 09:25:15,40,65,78,30,48,63,6876,1997,436,66,20,6
13/12/2021 09:25:20,40,67,78,30,48,63,6984,2028,448,64,18,6
13/12/2021 09:25:25,38,66,75,29,47,61,6864,2003,445,64,16,4
13/12/2021 09:25:30,39,66,75,29,47,61,6909,2007,439,64,16,2
13/12/2021 09:25:35,39,68,84,29,48,66,6882,2028,468,87,24,4
13/12/2021 09:25:40,40,70,89,30,50,68,6909,2032,480,95,28,6
13/12/2021 09:25:45,40,70,88,30,50,68,6894,2032,480,93,26,6
13/12/2021 09:25:50,40,70,88,30,50,68,6894,2032,480,93,26,6
13/12/2021 09:25:55,40,70,88,30,50,68,6894,2032,480,93,26,6
13/12/2021 09:26:00,39,69,87,29,49,67,6900,2030,484,91,26,8
13/12/2021 09:26:05,39,69,87,29,49,67,6900,2030,484,91,26,8
13/12/2021 09:26:10,39,69,87,29,49,67,6900,2030,484,91,26,8
13/12/2021 09:26:15,39,69,88,29,49,67,6855,2028,486,91,28,10
13/12/2021 09:26:21,39,69,88,29,49,67,6855,2028,486,91,28,10
13/12/2021 09:26:26,39,69,88,29,49,67,6855,2028,486,91,28,10
13/12/2021 09:26:31,40,68,86,30,48,66,6975,2077,475,83,26,8
13/12/2021 09:26:36,40,68,86,30,48,66,6975,2077,475,83,26,8
13/12/2021 09:26:41,40,68,86,30,48,66,6975,2077,475,83,26,8
13/12/2021 09:26:46,40,66,85,30,47,66,6885,2056,471,77,26,10
13/12/2021 09:26:51,41,67,86,31,48,67,6885,2056,471,77,26,10
13/12/2021 09:26:56,41,67,86,31,48,67,6885,2056,471,77,26,10
13/12/2021 09:27:01,40,66,86,30,48,67,6834,2041,461,77,28,12
13/12/2021 09:27:06,40,66,86,30,48,67,6834,2041,461,77,28,12
13/12/2021 09:27:11,40,66,86,30,48,67,6834,2041,461,77,28,12
13/12/2021 09:27:16,42,66,91,31,48,69,6984,2075,470,79,34,16
13/12/2021 09:27:21,42,66,91,31,48,69,6984,2075,470,79,34,16
13/12/2021 09:27:26,42,66,91,31,48,69,6984,2075,470,79,34,16
13/12/2021 09:27:31,41,66,89,31,48,68,6846,2041,478,75,32,18
13/12/2021 09:27:36,41,66,89,31,48,68,6846,2041,478,75,32,18
13/12/2021 09:27:41,41,66,89,31,48,68,6846,2041,478,75,32,18
13/12/2021 09:27:46,40,63,81,30,47,65,6783,2014,466,52,24,16
13/12/2021 09:27:51,40,63,81,30,47,65,6783,2014,466,52,24,16
13/12/2021 09:27:56,40,63,81,30,47,65,6783,2014,466,52,24,16
13/12/2021 09:28:01,41,66,80,31,48,64,6852,2033,471,52,20,16
13/12/2021 09:28:06,40,66,84,30,48,66,6891,2033,477,60,24,20
13/12/2021 09:28:11,40,67,85,30,48,67,6981,2039,471,68,26,20
13/12/2021 09:28:16,42,68,85,31,49,67,7221,2100,469,66,24,18
13/12/2021 09:28:21,40,66,85,30,48,67,6993,2017,469,68,26,18
13/12/2021 09:28:26,40,67,85,30,48,67,7050,2032,473,70,26,16
13/12/2021 09:28:31,39,67,86,30,48,67,6999,2007,469,74,28,14
13/12/2021 09:28:36,38,65,81,29,48,65,6867,1967,431,70,24,10
13/12/2021 09:28:41,37,63,80,29,47,64,6696,1917,412,74,26,8
13/12/2021 09:28:46,38,66,83,29,48,66,6759,1940,418,84,26,8
13/12/2021 09:28:51,37,62,79,28,46,63,6759,1938,403,74,26,8
13/12/2021 09:28:56,38,63,80,29,46,64,6828,1959,403,78,28,4
13/12/2021 09:29:01,38,64,79,29,47,63,6744,1963,405,74,24,2
13/12/2021 09:29:06,39,65,80,30,48,64,6744,1963,405,74,24,2
13/12/2021 09:29:11,39,65,80,30,48,64,6744,1963,405,74,24,2
13/12/2021 09:29:16,38,66,82,29,48,65,6738,1966,417,80,26,4
13/12/2021 09:29:21,38,66,82,29,48,65,6738,1966,417,80,26,4
13/12/2021 09:29:26,38,66,82,29,48,65,6738,1966,417,80,26,4
13/12/2021 09:29:31,41,69,85,31,49,67,7074,2072,436,80,26,4
13/12/2021 09:29:36,41,69,85,31,49,67,7074,2072,436,80,26,4
13/12/2021 09:29:41,40,68,84,30,48,66,7074,2072,436,80,26,4
13/12/2021 09:29:46,40,67,83,30,48,65,7158,2085,446,76,26,4
13/12/2021 09:29:51,41,67,84,30,48,66,7239,2113,452,72,26,6
13/12/2021 09:29:56,40,68,82,30,48,65,7152,2087,456,72,22,6
13/12/2021 09:30:01,41,69,82,30,49,65,7272,2118,467,68,20,8
13/12/2021 09:30:06,41,67,83,30,48,65,7290,2111,463,66,24,12
13/12/2021 09:30:11,40,68,86,30,48,66,7239,2113,475,74,26,10
13/12/2021 09:30:16,41,67,85,30,48,66,7182,2103,458,68,26,14
13/12/2021 09:30:21,41,68,86,30,48,66,7284,2124,464,68,26,14
13/12/2021 09:30:26,41,67,83,30,48,65,7254,2115,460,64,24,12
13/12/2021 09:30:31,39,64,80,29,47,64,6993,2037,435,64,22,12
13/12/2021 09:30:36,38,65,79,29,47,63,6918,2009,404,68,20,12
13/12/2021 09:30:41,39,65,78,29,47,63,6939,2025,406,70,18,10
13/12/2021 09:30:46,40,66,79,30,47,63,7089,2057,431,66,18,10
13/12/2021 09:30:51,40,66,79,30,47,63,7089,2057,431,66,18,10
13/12/2021 09:30:56,40,66,79,30,47,63,7089,2057,431,66,18,10
13/12/2021 09:31:01,40,68,82,30,49,65,7044,2049,439,74,20,12
13/12/2021 09:31:06,40,68,82,30,49,65,7044,2049,439,74,20,12
13/12/2021 09:31:11,40,68,82,30,49,65,7044,2049,439,74,20,12
13/12/2021 09:31:16,40,69,81,30,49,65,6975,2052,437,76,18,8
13/12/2021 09:31:21,40,69,81,30,49,65,6975,2052,437,76,18,8
13/12/2021 09:31:26,40,69,81,30,49,65,6975,2052,437,76,18,8
13/12/2021 09:31:31,41,68,78,31,49,63,6987,2057,421,68,16,8
13/12/2021 09:31:36,41,68,78,31,49,63,6987,2057,421,68,16,8
13/12/2021 09:31:41,41,68,78,31,49,63,6987,2057,421,68,16,8
13/12/2021 09:31:46,40,69,78,30,49,63,6969,2061,451,66,14,4
13/12/2021 09:31:51,40,69,78,30,49,63,6969,2061,451,66,14,4
13/12/2021 09:31:56,40,69,78,30,49,63,6969,2061,451,66,14,4
13/12/2021 09:32:01,40,66,75,30,48,62,6843,2028,441,62,14,4
13/12/2021 09:32:06,40,66,75,30,48,62,6843,2028,441,62,14,4
13/12/2021 09:32:11,39,65,74,29,47,61,6843,2028,441,62,14,4
13/12/2021 09:32:16,39,66,74,29,47,61,6810,2018,424,64,14,4
13/12/2021 09:32:21,39,66,74,29,47,61,6810,2018,424,64,14,4
13/12/2021 09:32:26,39,66,74,29,47,61,6810,2018,424,64,14,4
13/12/2021 09:32:31,40,66,75,30,48,62,6825,2020,416,62,14,4
13/12/2021 09:32:36,40,66,75,30,48,62,6759,2001,435,62,16,4
13/12/2021 09:32:41,40,67,77,30,48,63,6834,2016,437,66,18,4
13/12/2021 09:32:46,39,65,76,29,47,62,6789,2016,418,66,18,4
13/12/2021 09:32:51,39,64,73,29,47,61,6879,2026,412,56,16,0
13/12/2021 09:32:56,39,64,78,29,47,63,6957,2030,429,58,22,6
13/12/2021 09:33:01,40,65,79,30,47,63,7065,2053,439,58,22,6
13/12/2021 09:33:06,40,64,76,30,47,62,7077,2045,420,54,20,6
13/12/2021 09:33:11,40,65,79,30,47,63,7215,2072,426,60,22,6
13/12/2021 09:33:16,40,65,78,30,47,63,7134,2044,426,62,22,6
13/12/2021 09:33:21,41,66,81,30,47,65,7209,2071,457,66,26,8
13/12/2021 09:33:26,42,66,82,30,47,65,7305,2101,453,66,26,8
13/12/2021 09:33:31,42,64,78,30,47,63,7191,2074,432,58,22,8
13/12/2021 09:33:36,43,66,81,31,48,65,7191,2074,432,58,22,8
13/12/2021 09:33:41,43,66,81,31,48,65,7191,2074,432,58,22,8
13/12/2021 09:33:46,45,69,86,32,49,68,7395,2137,449,62,26,10
13/12/2021 09:33:51,44,67,84,31,48,66,7515,2165,445,62,26,10
13/12/2021 09:33:56,44,66,79,31,47,63,7494,2150,421,58,22,4
13/12/2021 09:34:01,42,64,77,30,47,62,7254,2072,411,58,22,6
13/12/2021 09:34:06,43,64,78,31,47,63,7272,2076,415,60,22,6
13/12/2021 09:34:11,42,64,78,30,47,63,7164,2063,413,58,22,6
13/12/2021 09:34:16,43,65,80,31,47,64,7227,2095,417,62,24,8
13/12/2021 09:34:21,41,64,79,30,47,63,7125,2049,402,66,22,8
13/12/2021 09:34:26,41,64,79,30,47,63,7038,2036,402,66,22,10
13/12/2021 09:34:31,39,65,79,29,47,63,6924,2000,408,68,22,10
13/12/2021 09:34:36,38,64,80,29,47,64,6873,1975,404,76,24,12
13/12/2021 09:34:41,39,65,81,30,48,65,6732,1969,412,76,22,12
13/12/2021 09:34:46,40,66,80,30,48,64,6714,1982,410,74,20,12
13/12/2021 09:34:51,40,66,80,30,48,64,6714,1982,410,74,20,12
13/12/2021 09:34:56,40,66,80,30,48,64,6714,1982,410,74,20,12
13/12/2021 09:35:01,40,65,78,30,48,63,6798,1990,393,72,18,10
13/12/2021 09:35:06,40,65,78,30,48,63,6798,1990,393,72,18,10
13/12/2021 09:35:11,40,65,78,30,48,63,6798,1990,393,72,18,10
13/12/2021 09:35:16,39,64,77,30,47,63,6780,1984,382,68,18,10
13/12/2021 09:35:21,39,64,77,30,47,63,6780,1984,382,68,18,10
13/12/2021 09:35:26,39,64,77,30,47,63,6780,1984,382,68,18,10
13/12/2021 09:35:31,39,62,75,30,46,62,6750,1953,384,64,18,10
13/12/2021 09:35:36,39,62,75,30,46,62,6750,1953,384,64,18,10
13/12/2021 09:35:41,39,62,75,30,46,62,6750,1953,384,64,18,10
13/12/2021 09:35:46,39,61,75,30,46,62,6813,1959,391,58,20,8
13/12/2021 09:35:51,39,60,72,29,45,60,6882,1976,396,50,18,6
13/12/2021 09:35:56,40,62,74,30,46,61,7032,2027,406,54,18,4
13/12/2021 09:36:01,40,61,73,30,45,61,7050,2031,402,52,18,4
13/12/2021 09:36:06,40,62,68,30,46,58,6906,1993,387,42,12,0
13/12/2021 09:36:11,40,61,68,30,46,58,6900,1982,387,40,12,0
13/12/2021 09:36:16,38,61,67,29,46,58,6735,1933,389,38,10,0
13/12/2021 09:36:21,37,61,68,28,45,58,6639,1920,397,42,12,0
13/12/2021 09:36:26,37,61,69,28,45,59,6600,1917,395,46,14,2
13/12/2021 09:36:31,37,63,73,28,46,61,6651,1942,395,56,16,4
13/12/2021 09:36:36,37,62,71,28,46,60,6567,1921,391,54,14,4
13/12/2021 09:36:41,36,62,73,28,46,61,6474,1915,378,62,16,4
